vendedor_id,nome,tipo,regional,supervisor,gerente_distrital,tempo_empresa,senioridade
1001,Lucas Nascimento,FVE,SP Interior,,Carolina Barros,8,Senior
1002,Camila Silva,FVE,SP Interior,,Igor Rodrigues,1,Junior
1003,Paulo Araujo,FVE,SP Interior,,Carolina Barros,9,Junior
1004,Lucas Rodrigues,FVE,Norte/Nordeste,,Carolina Rodrigues,1,Junior
1005,Natalia Lima,FVE,Centro-Oeste,,Carolina Rodrigues,1,Senior
1006,Ana Martins,FVE,SP Interior,,Igor Rodrigues,8,Junior
1007,Gabriel Lima,FVE,SP Capital,,Carolina Barros,5,Junior
1008,Gabriel Almeida,FVE,Sudeste,,Carolina Barros,4,Senior
1009,Diego Fernandes,FVE,SP Interior,,Carolina Rodrigues,6,Junior
1010,Simone Pereira,FVE,SP Capital,,Marcelo Rocha,7,Pleno
1011,Henrique Rodrigues,FVE,SP Capital,,Marcelo Barros,3,Junior
1012,Gustavo Freitas,FVE,Centro-Oeste,,Carolina Barros,8,Junior
1013,Roberta Freitas,FVE,Sudeste,,Julio Souza,7,Senior
1014,Carla Rodrigues,FVE,SP Capital,,Igor Rodrigues,8,Junior
1015,Julio Nascimento,FVE,Sudeste,,Julio Souza,4,Pleno
1016,Renata Carvalho,FVE,SP Capital,,Carolina Barros,2,Senior
1017,Rafael Oliveira,FVE,Centro-Oeste,,Carolina Rodrigues,2,Pleno
1018,Simone Barros,FVE,Sudeste,,Carolina Barros,9,Pleno
1019,Rafael Lima,FVE,SP Capital,,Julio Souza,3,Pleno
1020,Fernando Rodrigues,FVE,Sul,,Marcelo Rocha,10,Junior
1021,Gabriel Freitas,FVE,Centro-Oeste,,Carolina Barros,8,Pleno
1022,Bruna Carvalho,FVE,SP Capital,,Carolina Rodrigues,8,Senior
1023,Aline Nascimento,FVE,Sudeste,,Marcelo Barros,5,Junior
1024,Amanda Costa,FVE,Centro-Oeste,,Marcelo Barros,3,Senior
1025,Ana Lima,FVE,SP Capital,,Carolina Barros,1,Senior
1026,Patricia Fernandes,FVE,SP Capital,,Marcelo Rocha,8,Senior
1027,Eduardo Gomes,FVE,SP Capital,,Marcelo Rocha,6,Pleno
1028,Sandra Almeida,FVE,SP Capital,,Marcelo Barros,8,Pleno
1029,Victor Batista,FVE,SP Interior,,Marcelo Barros,8,Pleno
1030,Renata Nascimento,FVE,SP Capital,,Marcelo Barros,2,Pleno
